Company,Count
ATB Financial,3
Loblaw,3
"McAfee, LLC",3
Aritzia,2
University of Toronto,2
Atlantis IT group,2
Spring Financial Inc.,2
iA Groupe financier / iA Financial Group,2
Ameresco,2
Fraser Health,2
Irving JDI IT,2
Intact,2
BMO Financial Group,2
Sunnybrook Health Sciences Centre,2
Innivec,2
CIBC,2
Resolution Staffing Inc,1
York Region,1
Ericsson,1
Highline Mushrooms,1
LatentView Analytics,1
Samsung Electronics,1
Metro,1
RideCo,1
Piller's Fine Foods,1
Irving Tissue,1
Fortinet,1
Southlake Regional Health Centre,1
Sun Life,1
Tier One Analytics (Canada) Inc,1
Aviva,1
CloudMD Software & Services Inc - CAN,1
Element Fleet Management,1
AXIS Database Marketing,1
Vancouver Airport Authority,1
Wildfire Robotics,1
PSA Halifax,1
IEM Canada,1
Powerex,1
Mindshare,1
Pengcorp Ltd.,1
Export Packers,1
CPG Incorporated,1
Aplin,1
Confidential,1
Play MPE,1
TextNow,1
MVR Digital,1
BC Transit,1
Exadel Inc,1
Unity Health Toronto,1
Alberta Machine Intelligence Institute,1
REW,1
DRW,1
Pleasant Solutions,1
Vital Biosciences Inc.,1
Martin Brower,1
Fidelity Investments,1
AppLovin,1
Exadel,1
Monzek Consulting,1
Rival Insurance Technology,1
Best Buy,1
Shodh Consulting Services,1
Cloudtrend Inc.,1
Bulk Barn,1
Nuclear Promise X,1
NAV Canada,1
Maple,1
Tecqify Solutions Inc,1
IRIS R&D Group Inc.,1
PartnerRe,1
Zenduit Inc,1
Microsoft,1
Darkhorse Emergency,1
Hard Rock Digital,1
Steinbach Credit Union,1
Epic Games,1
Pro-Western Mechanical,1
Bayshore HealthCare,1
JDI IT,1
Sagen,1
407 ETR,1
Luxoft,1
Bell,1
INLAN,1
BBE Expediting Ltd,1
Citi,1
Domtar,1
SSENSE,1
County of Lambton,1
TELUS,1
AEM-FTS,1
CIRO / OCRI,1
Tonal,1
University of Alberta,1
Mariner Innovations,1
Alberta Energy Regulator,1
OMERS,1
Electronic Arts,1
Zgemi Inc.,1
Togetherwork Talent Community,1
Ottawa Tekky Talks,1
Olsen Consulting,1
Build Measure Learn Sweden AB,1
Irving Oil,1
PluraChoice,1
Wave HQ,1
RocketRez Inc,1
Bombardier,1
MUFG Canada,1
National Bank of Canada,1
AESO,1
Bonafide Info Systems Inc.,1
CSI Consulting,1
Royal Bank of Canada,1
Avison Young Canada,1
Six side Logistics,1
Kensington,1
Nutrien,1
Cognition+,1
Capital One,1
Compass Group,1
Sanofi,1
Supernova Technology,1
Parrish and Heimbecker,1
FirstOntario Credit Union,1
Banff Centre for Arts and Creativity,1
"ZEMA Global Data US, LLC",1
sigilquest solutions inc,1
InSync,1
Visual Information Products Inc.,1
SOL Skin Esthetics Spa,1
Semtech,1
Teranet,1
Nova Vacation Homes,1
SYENERGY DATA INC,1
Syntronic,1
RouteThis,1
Software International,1
Chainlink Labs,1
Ontario Mutuals,1
Chubb,1
Metro Vancouver,1
SmartTrade,1
Capital Consultancy,1
City of Calgary,1
DB Conseils(DBC),1
Avenu Insights & Analytics,1
Accuenergy (Canada) Inc.,1
Zynga,1
Colours of Punjabi Event Organization Inc.,1
Equitable CA,1
Morningstar,1
Irving Business Services,1
Primesoftinc,1
Conestoga Meat Packers Ltd.,1
The University of Calgary,1
Saxxunderwear,1
uniuni,1
B.C. College of Nurses and Midwives,1
Softline Technology,1
FlightHub,1
Canaccord Genuity Corp.,1
EDC,1
Vosyn,1
SE Health,1
EXL Services,1
WilsonHCG,1
Healthcare of Ontario Pension Plan (HOOPP),1
PRIMESOFT INC,1
Creative Door Services,1
Scotiabank,1
