job_title,company,location,Mode,Cleaned_Location,Cleaned_Company
Junior Data Analyst,New,PSA Halifax,On-site,PSA Halifax,PSA Halifax
Junior Data Analyst (AI Insights),Wildfire Robotics,"Hybrid work in Saskatoon, SK",Hybrid,"Saskatoon, SK",Wildfire Robotics
Senior Business Analyst ( Business Intelligence) - Term to Sep 2025,Vancouver Airport Authority,Unknown,Unknown,Unknown,Vancouver Airport Authority
Data Analyst - reporting specialist,New,Aplin,On-site,Aplin,Aplin
Business Analyst,New,Confidential,On-site,Confidential,Confidential
Data Analyst - Production,IEM Canada,Unknown,Unknown,Unknown,IEM Canada
Junior Business Analyst,New,Powerex,On-site,Powerex,Powerex
Data Analyst,Mindshare,"Toronto, ON",On-site,"Toronto, ON",Mindshare
"Manager, Data Visualization & Analytics",New,Pengcorp Ltd.,On-site,Pengcorp Ltd.,Pengcorp Ltd.
Data Analyst,Export Packers,"Hybrid work in Brampton, ON L6T 5K5",Hybrid,"Brampton, ON L6T 5K5",Export Packers
Junior Data Analyst,CPG Incorporated,"Leamington, ON N8H 5H7",On-site,"Leamington, ON N8H 5H7",CPG Incorporated
Business Analyst/Billing Supervisor,Resolution Staffing Inc,"Cobourg, ON",On-site,"Cobourg, ON",Resolution Staffing Inc
Statistical Data Analyst,York Region,"Hybrid work in Newmarket, ON",Hybrid,"Newmarket, ON",York Region
Associate Data Analyst,Element Fleet Management,"Toronto, ON",On-site,"Toronto, ON",Element Fleet Management
Data Analyst,LatentView Analytics,"Toronto, ON",On-site,"Toronto, ON",LatentView Analytics
Data Analyst,CloudMD Software & Services Inc - CAN,"Mississauga, ON L4W 4P4",On-site,"Mississauga, ON L4W 4P4",CloudMD Software & Services Inc - CAN
DEVELOPER / DATA ANALYST,AXIS Database Marketing,"Mississauga, ON",On-site,"Mississauga, ON",AXIS Database Marketing
Data Analyst & Project Planner Intern,Ericsson,"Mississauga, ON",On-site,"Mississauga, ON",Ericsson
Data Analyst,Highline Mushrooms,"Leamington, ON",On-site,"Leamington, ON",Highline Mushrooms
Sustainability Data Analyst,Sun Life,"Hybrid work in Waterloo, ON",Hybrid,"Waterloo, ON",Sun Life
"Data Analyst, Student Success",University of Toronto,"Hybrid work in Toronto, ON",Hybrid,"Toronto, ON",University of Toronto
Data Analyst,Samsung Electronics,"Vancouver, BC",On-site,"Vancouver, BC",Samsung Electronics
Transportation Data Analyst,Metro,"Etobicoke, ON",On-site,"Etobicoke, ON",Metro
Business Data Analyst,RideCo,"Hybrid work in Waterloo, ON N2J 4P9",Hybrid,"Waterloo, ON N2J 4P9",RideCo
ERP Data Analyst,Piller's Fine Foods,"Waterloo, ON N2K 2K6",On-site,"Waterloo, ON N2K 2K6",Piller's Fine Foods
Data Analyst,Irving Tissue,"Toronto, ON",On-site,"Toronto, ON",Irving Tissue
Data Analyst,Fortinet,"Burnaby, BC V5C 6C6",On-site,"Burnaby, BC V5C 6C6",Fortinet
"Data Analyst- Surgical Program, Thoracic Surgery",Southlake Regional Health Centre,"Newmarket, ON L3Y 2P9",On-site,"Newmarket, ON L3Y 2P9",Southlake Regional Health Centre
Sr. Data Engineer-Analyst (Contract),New,Tier One Analytics (Canada) Inc,On-site,Tier One Analytics (Canada) Inc,Tier One Analytics (Canada) Inc
Senior Data Analyst,Aviva,"Hybrid work in Markham, ON",Hybrid,"Markham, ON",Aviva
Data Analyst,AppLovin,"Toronto, ON",On-site,"Toronto, ON",AppLovin
Data Analyst,University of Toronto,"Toronto, ON",On-site,"Toronto, ON",University of Toronto
Data Visualization Analyst,Fidelity Investments,"Toronto, ON",On-site,"Toronto, ON",Fidelity Investments
Data & Analytics - Senior Data Analyst,Aritzia,"New Westminster, BC",On-site,"New Westminster, BC",Aritzia
Business Data Analyst,Martin Brower,"Mississauga, ON",On-site,"Mississauga, ON",Martin Brower
Data Analyst/Data Scientist,Vital Biosciences Inc.,"Oakville, ON",On-site,"Oakville, ON",Vital Biosciences Inc.
Data Analyst / Business Intelligence Analyst (with a tech company),Pleasant Solutions,Unknown,Unknown,Unknown,Pleasant Solutions
Data Analyst - Global Markets and Equities,DRW,"Montréal, QC H3G 2W4",On-site,"Montréal, QC H3G 2W4",DRW
Data Analyst,REW,"Vancouver, BC",On-site,"Vancouver, BC",REW
Data Analyst,Alberta Machine Intelligence Institute,"Hybrid work in Edmonton, AB T5J 3B1",Hybrid,"Edmonton, AB T5J 3B1",Alberta Machine Intelligence Institute
Research Data Analyst Spine Surgery Rsrch Group,Unity Health Toronto,"Toronto, ON",On-site,"Toronto, ON",Unity Health Toronto
Data Scientist / Analyst- Canada- Remote Opportunity,Exadel Inc,"Remote in Toronto, ON",Remote,Remote,Exadel Inc
Intermediate Data Analyst,BC Transit,"Victoria, BC V8W 9T5",On-site,"Victoria, BC V8W 9T5",BC Transit
Reporting & Data Analyst,MVR Digital,Remote in Nunavut,Remote,Remote,MVR Digital
"Staff Data Analyst, Core Experience",TextNow,Remote,Remote,Remote,TextNow
Junior Data Analyst,Play MPE,"Hybrid work in Vancouver, BC V6G 2V3",Hybrid,"Vancouver, BC V6G 2V3",Play MPE
Junior Business Analyst - Winnipeg or Steinbach,Steinbach Credit Union,"Winnipeg, MB",On-site,"Winnipeg, MB",Steinbach Credit Union
Data Analyst,RocketRez Inc,"Winnipeg, MB",On-site,"Winnipeg, MB",RocketRez Inc
Senior Data Analyst,Wave HQ,Remote,Remote,Remote,Wave HQ
Senior Data Analyst,Hard Rock Digital,"Hybrid work in Toronto, ON",Hybrid,"Toronto, ON",Hard Rock Digital
Data Analyst – Advanced Analytics and Google Analytics,Monzek Consulting,"Hybrid work in Toronto, ON M5V 1R5",Hybrid,"Toronto, ON M5V 1R5",Monzek Consulting
