Job Title,Company,Location
Junior Data Analyst,New,PSA Halifax
Junior Data Analyst (AI Insights),Wildfire Robotics,"Hybrid work in Saskatoon, SK"
Senior Business Analyst ( Business Intelligence) - Term to Sep 2025,Vancouver Airport Authority,N/A
Logistics Analyst,Raise,N/A
Data Analyst - reporting specialist,New,Aplin
Business Analyst,New,Confidential
Data Analyst - Production,IEM Canada,N/A
Junior Business Analyst,New,Powerex
Data Analyst,Mindshare,"Toronto, ON"
Associate Paid Media Analyst - 19176,New,The Headhunters
"Manager, Data Visualization & Analytics",New,Pengcorp Ltd.
Data Analyst,Export Packers,"Hybrid work in Brampton, ON L6T 5K5"
Junior Data Analyst,CPG Incorporated,"Leamington, ON N8H 5H7"
Business Analyst/Billing Supervisor,Resolution Staffing Inc,"Cobourg, ON"
Inventory & Quota System Analyst,Egg Farmers of Ontario,"Mississauga, ON L5N 4H1"
Statistical Data Analyst,York Region,"Hybrid work in Newmarket, ON"
Associate Data Analyst,Element Fleet Management,"Toronto, ON"
Data Analyst,LatentView Analytics,"Toronto, ON"
Data Analyst,CloudMD Software & Services Inc - CAN,"Mississauga, ON L4W 4P4"
DEVELOPER / DATA ANALYST,AXIS Database Marketing,"Mississauga, ON"
Data Analyst & Project Planner Intern,Ericsson,"Mississauga, ON"
"Data & Reporting Analyst, Master Data Services",Gay Lea Foods,"Mississauga, ON L4W 5B4"
Data Analyst,Highline Mushrooms,"Leamington, ON"
Sustainability Data Analyst,Sun Life,"Hybrid work in Waterloo, ON"
"Data Analyst, Student Success",University of Toronto,"Hybrid work in Toronto, ON"
Data Analyst,Samsung Electronics,"Vancouver, BC"
Transportation Data Analyst,Metro,"Etobicoke, ON"
Computer Systems Analyst,Winscar Transport Inc,"Mississauga, ON L4V 1J8"
Business Data Analyst,RideCo,"Hybrid work in Waterloo, ON N2J 4P9"
ERP Data Analyst,Piller's Fine Foods,"Waterloo, ON N2K 2K6"
Data Analyst,Irving Tissue,"Toronto, ON"
Performance Analyst - CUPE ESC,Ontario Health,"Hybrid work in Hamilton, ON"
Data Analyst,Fortinet,"Burnaby, BC V5C 6C6"
"Data Analyst- Surgical Program, Thoracic Surgery",Southlake Regional Health Centre,"Newmarket, ON L3Y 2P9"
Sr. Data Engineer-Analyst (Contract),New,Tier One Analytics (Canada) Inc
Senior Data Analyst,Aviva,"Hybrid work in Markham, ON"
Data Analyst,AppLovin,"Toronto, ON"
Data Analyst,University of Toronto,"Toronto, ON"
Data Visualization Analyst,Fidelity Investments,"Toronto, ON"
Functional Data and Reporting Analyst,University of Alberta,"Hybrid work in Edmonton, AB T6G 2B7"
Data & Analytics - Senior Data Analyst,Aritzia,"New Westminster, BC"
Business Data Analyst,Martin Brower,"Mississauga, ON"
Data Analyst/Data Scientist,Vital Biosciences Inc.,"Oakville, ON"
Insights Analyst,Home Hardware Stores Limited,"Hybrid work in St. Jacobs, ON"
Data Analyst / Business Intelligence Analyst (with a tech company),Pleasant Solutions,N/A
PURCHASING ANALYST,Groupe Leclerc,"Saint-Augustin-de-Desmaures, QC"
Data & Systems Analyst,Banyan Community Services,"Hamilton, ON L8V 1M1"
Data Platform Analyst,De Havilland,"Calgary, AB"
Data Analyst - Global Markets and Equities,DRW,"Montréal, QC H3G 2W4"
Data Analyst,REW,"Vancouver, BC"
Data Analyst,Alberta Machine Intelligence Institute,"Hybrid work in Edmonton, AB T5J 3B1"
Jr. Supply Chain Analyst,TJP Labs Inc.,"Pickering, ON L1W 3L7"
Research Data Analyst Spine Surgery Rsrch Group,Unity Health Toronto,"Toronto, ON"
Data Scientist / Analyst- Canada- Remote Opportunity,Exadel Inc,"Remote in Toronto, ON"
Intermediate Data Analyst,BC Transit,"Victoria, BC V8W 9T5"
Reporting & Data Analyst,MVR Digital,Remote in Nunavut
Registered Behaviour Analyst (RBA)- Specialized Clinical Services,TalentSphere Staffing Solutions,N/A
"Staff Data Analyst, Core Experience",TextNow,Remote
Junior Data Analyst,Play MPE,"Hybrid work in Vancouver, BC V6G 2V3"
Junior Business Analyst - Winnipeg or Steinbach,Steinbach Credit Union,"Winnipeg, MB"
Data Analyst,RocketRez Inc,"Winnipeg, MB"
"Data Conversion Analyst, HIS",William Osler Health System,"Hybrid work in Brampton, ON L6R 3J7"
Senior Data Analyst,Wave HQ,Remote
Data & Reporting Analyst,Co-operators General Insurance Company,"Hybrid work in Guelph, ON"
Senior Data Analyst,Hard Rock Digital,"Hybrid work in Toronto, ON"
Data Analyst – Advanced Analytics and Google Analytics,Monzek Consulting,"Hybrid work in Toronto, ON M5V 1R5"
Data Analyst / Consultant (Fire / EMS),Darkhorse Emergency,"Remote in Edmonton, AB"
Data Analyst,Atlantis IT group,"Toronto, ON"
